CODICE,TIPO,DESTINAZIONE,ZONA,QUARTIERE,BUDGET,SERVIZI_MINIMI
HMAMAME,H,MAROCCO,MARRAKECH,MEDINA | GUELIZ | HIVERNAGE,MEDIUM,3 o 4 stelle | Mono/Doppia/Tripla | Bagno privato Aria Cond. e Wi Fi | Colazione inclusa
HMAMAHI,H,MAROCCO,MARRAKECH,MEDINA | GUELIZ | HIVERNAGE,HIGH,5 stelle | Mono/Doppia | Bagno privato Aria Cond. e Wi Fi | Colazione inclusa
HMADELO,H,MAROCCO,DESERTO SAHARA,MERZOUGA | ERG CHEBBI,LOW,Campo berbero | Tenda condivisa | Bagno comune | Cena e colazione incluse
HMADEME,H,MAROCCO,DESERTO SAHARA,MERZOUGA | ERG CHEBBI,MEDIUM,Campo berbero | Tenda privata | Bagno privato | Cena e colazione incluse
HMADEHI,H,MAROCCO,DESERTO SAHARA,MERZOUGA | ERG CHEBBI,HIGH,Campo luxury | Suite tenda | Bagno privato | Cena e colazione incluse
HMAESLO,H,MAROCCO,ESSAOUIRA,MEDINA | SPIAGGIA,LOW,Max 2 stelle | Posto letto/Doppia/Tripla | Bagno in comune o privato | Aria condizionata e Wi Fi
HMAESME,H,MAROCCO,ESSAOUIRA,MEDINA | SPIAGGIA,MEDIUM,3 o 4 stelle | Mono/Doppia/Tripla | Bagno privato Aria Cond. e Wi Fi | Colazione inclusa
HMAESHI,H,MAROCCO,ESSAOUIRA,MEDINA | SPIAGGIA,HIGH,5 stelle | Mono/Doppia | Bagno privato Aria Cond. e Wi Fi | Colazione inclusa
HSPBALO,H,SPAGNA,BARCELLONA,GOTHIC QUARTER | EIXAMPLE | GRACIA,LOW,Max 2 stelle | Posto letto/Doppia/Tripla | Bagno in comune o privato | Aria condizionata e Wi Fi
HSPBAME,H,SPAGNA,BARCELLONA,GOTHIC QUARTER | EIXAMPLE | GRACIA,MEDIUM,3 o 4 stelle | Mono/Doppia/Tripla | Bagno privato Aria Cond. e Wi Fi | Colazione inclusa
HSPBAHI,H,SPAGNA,BARCELLONA,GOTHIC QUARTER | EIXAMPLE | GRACIA,HIGH,5 stelle | Mono/Doppia | Bagno privato Aria Cond. e Wi Fi | Colazione inclusa
HSPMALO,H,SPAGNA,MADRID,SOL | GRAN VIA | MALASAÑA,LOW,Max 2 stelle | Posto letto/Doppia/Tripla | Bagno in comune o privato | Aria condizionata e Wi Fi
HSPMAME,H,SPAGNA,MADRID,SOL | GRAN VIA | MALASAÑA,MEDIUM,3 o 4 stelle | Mono/Doppia/Tripla | Bagno privato Aria Cond. e Wi Fi | Colazione inclusa
HSPMAHI,H,SPAGNA,MADRID,SOL | GRAN VIA | MALASAÑA,HIGH,5 stelle | Mono/Doppia | Bagno privato Aria Cond. e Wi Fi | Colazione inclusa
